vpc,service,position,dst_cidr,igw,vpce,tgw,pl,pcx,nat,eni,description
hsfms-idc-bundang-vpc,bundang,bundang-public,0.0.0.0/0,hsfms-idc-bundang-vpc,,,,,,,
hsfms-idc-bundang-vpc,bundang,bundang-private,0.0.0.0/0,,,,,,bundang-nat-pub-01a,,
hsfms-idc-bundang-vpc,bundang,bundang-private,172.24.0.0/24,,,,,,,eni-00a82f2f90d5cde06,
hsfms-idc-bundang-vpc,bundang,bundang-private,172.25.0.0/22,,,,,,,eni-00a82f2f90d5cde06,
hsfms-idc-bundang-vpc,bundang,bundang-private,172.26.0.0/24,,,,,,,eni-00a82f2f90d5cde06,
hsfms-idc-bundang-vpc,bundang,bundang-private-tgw,0.0.0.0/0,,,,,,,,
hsfms-idc-nonhyeon-vpc,nonhyeon,nonhyeon-public,0.0.0.0/0,hsfms-idc-nonhyeon-vpc,,,,,,,
hsfms-idc-nonhyeon-vpc,nonhyeon,nonhyeon-private,0.0.0.0/0,,,,,,nonhyeon-nat-pub-01a,,
hsfms-idc-nonhyeon-vpc,nonhyeon,nonhyeon-private,172.24.0.0/24,,,,,,,eni-060e813b82b857ff2,
hsfms-idc-nonhyeon-vpc,nonhyeon,nonhyeon-private,172.25.0.0/22,,,,,,,eni-060e813b82b857ff2,
hsfms-idc-nonhyeon-vpc,nonhyeon,nonhyeon-private,172.26.0.0/24,,,,,,,eni-060e813b82b857ff2,
hsfms-idc-nonhyeon-vpc,nonhyeon,nonhyeon-private-tgw,0.0.0.0/0,,,,,,,,
