vpc,service,position,dst_cidr,igw,vpce,tgw,pl,pcx,nat,eni,description
sillaeng-demo-mng-vpc,mng,mng-public,0.0.0.0/0,sillaeng-demo-mng-vpc,,,,,,,
sillaeng-demo-mng-vpc,mng,mng-public,172.22.0.0/16,,,shared,,,,,
sillaeng-demo-mng-vpc,mng,mng-public,172.25.0.0/22,,,shared,,,,,
sillaeng-demo-mng-vpc,mng,mng-public,172.26.0.0/24,,,shared,,,,,
sillaeng-demo-mng-vpc,mng,mng-public,192.168.0.0/16,,,shared,,,,,
sillaeng-demo-mng-vpc,mng,mng-private,0.0.0.0/0,,,,,,mng-nat-pub-01a,,
sillaeng-demo-mng-vpc,mng,mng-private,172.22.0.0/16,,,shared,,,,,
sillaeng-demo-mng-vpc,mng,mng-private,172.25.0.0/22,,,shared,,,,,
sillaeng-demo-mng-vpc,mng,mng-private,172.26.0.0/24,,,shared,,,,,
sillaeng-demo-mng-vpc,mng,mng-private,192.168.0.0/16,,,shared,,,,,
sillaeng-demo-mng-vpc,mng,mng-private-tgw,0.0.0.0/0,,,,,,mng-nat-pub-01a,,
sillaeng-demo-service-vpc,service,service-public,0.0.0.0/0,sillaeng-demo-service-vpc,,,,,,,
sillaeng-demo-service-vpc,service,service-public,172.22.0.0/16,,,shared,,,,,
sillaeng-demo-service-vpc,service,service-public,172.24.0.0/24,,,shared,,,,,
sillaeng-demo-service-vpc,service,service-public,172.26.0.0/24,,,shared,,,,,
sillaeng-demo-service-vpc,service,service-public,192.168.0.0/16,,,shared,,,,,
sillaeng-demo-service-vpc,service,service-private,0.0.0.0/0,,,shared,,,,,
sillaeng-demo-service-vpc,service,service-private,172.22.0.0/16,,,shared,,,,,
sillaeng-demo-service-vpc,service,service-private,172.24.0.0/24,,,shared,,,,,
sillaeng-demo-service-vpc,service,service-private,172.26.0.0/24,,,shared,,,,,
sillaeng-demo-service-vpc,service,service-private,192.168.0.0/16,,,shared,,,,,
sillaeng-demo-service-vpc,service,service-private-cache,0.0.0.0/0,,,shared,,,,,
sillaeng-demo-service-vpc,service,service-private-db,0.0.0.0/0,,,shared,,,,,
sillaeng-demo-dev-vpc,dev,dev-public,0.0.0.0/0,sillaeng-demo-dev-vpc,,,,,,,
sillaeng-demo-dev-vpc,dev,dev-private,0.0.0.0/0,,,shared,,,,,
sillaeng-demo-dev-vpc,dev,dev-private-db,0.0.0.0/0,,,shared,,,,,
